Supplier  ,Reference    ,Product                                                                            , Price , Quantity , Total,
SmallBear ,C6           ,Polyester Film Capacitors 0.0033uf : Topmay TMC05                                  ,$0.25 ,1,$0.25 ,
SmallBear ,C4           ,Polyester Film Capacitors 0.22uf : Topmay TMC05                                    ,$0.25 ,1,$0.25 ,
SmallBear ,C3           ,Polyester Film Capacitors 0.047uf : Topmay TMC05                                   ,$0.25 ,1,$0.25 ,
SmallBear ,C2           ,Polyester Film Capacitors 0.001uf : Topmay TMC05                                   ,$0.25 ,1,$0.25 ,
SmallBear ,C5           ,Polyester Film Capacitors 0.1uf : Topmay TMC05                                     ,$0.25 ,2,$0.50 ,
SmallBear ,C7           ,Electrolytic Capacitors 10uF                                                       ,$0.25 ,1,$0.25 ,
SmallBear ,C1           ,Electrolytic Capacitors 100uF                                                      ,$0.35 ,1,$0.35 ,
SmallBear ,D5 D6        ,3mm LED - Red                                                                      ,$0.25 ,2,$0.50 ,
SmallBear ,D2           ,5mm LED - Red                                                                      ,$0.50 ,1,$0.50 ,
SmallBear ,D1           ,1N5818 (Schottky Diode)                                                            ,$0.15 ,1,$0.15 ,
SmallBear ,D3 D4        ,1N4148 Small Signal Diode                                                          ,$0.15 ,2,$0.30 ,
BLMS,J1           ,2.1mm DC Power Jack Solder Lug External Nut                                        ,$0.55 ,1,$0.55 ,
SmallBear ,J2           ,Stereo Open frame Jack Electronics                                                 ,$1.25 ,1,$1.25 ,"Slightly cheaper at BLMS, but out of stock"
SmallBear ,J6           ,Mono Open frame Jack Electronics                                                   ,$1.15 ,1,$1.15 ,"Slightly cheaper at BLMS, but out of stock"
BLMS,SW2          ,SPDT On-On Solder Lug Toggle Switch                                                ,$0.74 ,1,$0.74 ,
BLMS,SW1          ,3PDT Stomp solder lug                                                              ,$2.18 ,1,$2.18 ,
SmallBear ,R5 R7        ,Bag of 100 - 1/4 Watt Metal Film Resistor - 1.8K ohms                              ,$2.00 ,0.02,$0.04 ,
SmallBear ,R1 R6 R9     ,Bag of 200 - 1/4 Watt Metal Film Resistor - 10K ohms                               ,$3.95 ,0.015,$0.06 ,
SmallBear ,R3 R4        ,Bag of 100 - 1/4 Watt Metal Film Resistor - 470K ohms                              ,$2.00 ,0.02,$0.04 ,
SmallBear ,R2 R8        ,Bag of 200 - 1/4 Watt Metal Film Resistor - 1.0M ohms                              ,$3.95 ,0.01,$0.04 ,
SmallBear ,RV2          ,Alpha Potentiometer Linear (B)16mm Single Gang PCB Mount 90° Long Pin - B100K      ,$1.25 ,1,$1.25 ,
SmallBear ,RV3          ,Alpha Potentiometer Logarithmic (A)16mm Single Gang PCB Mount 90° Long Pin - A100K ,$1.25 ,1,$1.25 ,
SmallBear ,RV1          ,Alpha Potentiometer Logarithmic (A)16mm Single Gang PCB Mount 90° Long Pin - A1M   ,$1.25 ,1,$1.25 ,
SmallBear ,U1           ,NJM4580D (IC)                                                                      ,$0.55 ,1,$0.55 ,
SmallBear ,Q1           ,J201 N-Channel JFET General Purpose Amplifier Transistor                           ,$0.59 ,1,$0.59 ,
SmallBear ,Enclosure    ,125B(4.77 x 2.6 x 1.39) Painted                                                    ,$6.25 ,1,$6.25 ,
SmallBear ,Knobs        ,Large Fluted MXR Style Colored                                                     ,$0.80 ,3,$2.40 ,
SmallBear ,DIP-8 Socket ,DIP-8 Socket                                                                       ,$0.64 ,1,$0.64 ,
SmallBear ,SIP socket   ,SIP20 Socket Snap-off                                                              ,$2.50 ,0.15,$0.38 ,
BLMS,LED Bezel    ,Bag of 5 5mm LED Bezel Black,$1.25 ,0.2,$0.25 ,
SmallBear ,Batt Snap,T-style 9V,$0.35 ,1,$0.35 ,
SmallBera,Batt,9V Battery,$2.15 ,1,$2.15 ,
Shipping Small bear,Shipping,Fedex for order of 10,$30.00 ,0.1,$3.00 ,
BLMS,Shipping,,$6.95 ,0.1,$0.70 ,
SeeedStudio,PCB,Set of 20 incl. shipping,$31.42 ,0.05,$1.57 ,
,,,,,,
,,,,,,
,,,,Total,$32.17 ,
,,,,Plus tax,$34.82 ,
,,,,Plus FUA,$41.79 ,
